,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
0,13837.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,julho de 2022 ,G
1,12773.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,julho de 2022 ,G
2,9277.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,julho de 2022 ,G
3,8745.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,julho de 2022 ,G
4,8140.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,julho de 2022 ,G
5,7917.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,julho de 2022 ,G
6,6521.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,julho de 2022 ,G
7,13879.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,junho de 2022 ,G
8,12535.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,junho de 2022 ,G
9,9305.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,junho de 2022 ,G
10,8772.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,junho de 2022 ,G
11,8165.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,junho de 2022 ,G
12,7941.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,junho de 2022 ,G
13,6000.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,junho de 2022 ,G
14,13769.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,maio de 2022 ,G
15,11950.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,maio de 2022 ,G
16,9232.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,maio de 2022 ,G
17,8703.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,maio de 2022 ,G
18,8101.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,maio de 2022 ,G
19,7878.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,maio de 2022 ,G
20,6005.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,maio de 2022 ,G
21,13660.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,abril de 2022 ,G
22,11443.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,abril de 2022 ,G
23,9159.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,abril de 2022 ,G
24,8634.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,abril de 2022 ,G
25,8037.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,abril de 2022 ,G
26,7816.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,abril de 2022 ,G
27,6180.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,abril de 2022 ,G
28,13552.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2001,Gasolina,015032-0,março de 2022 ,G
29,12033.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,2000,Gasolina,015032-0,março de 2022 ,G
30,9087.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1999,Gasolina,015032-0,março de 2022 ,G
31,8566.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1998,Gasolina,015032-0,março de 2022 ,G
32,7974.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1997,Gasolina,015032-0,março de 2022 ,G
33,7754.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1996,Gasolina,015032-0,março de 2022 ,G
34,6131.0,Hyundai,Accent GLS 1.5 12V/16V Aut.,1995,Gasolina,015032-0,março de 2022 ,G
