,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
0,168522.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,julho de 2022 ,G
1,153420.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2023,Gasolina,080031-7,julho de 2022 ,G
2,149125.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,julho de 2022 ,G
3,169410.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,junho de 2022 ,G
4,151094.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2023,Gasolina,080031-7,junho de 2022 ,G
5,144097.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,junho de 2022 ,G
6,169728.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,maio de 2022 ,G
7,149895.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2023,Gasolina,080031-7,maio de 2022 ,G
8,142954.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,maio de 2022 ,G
9,169728.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,abril de 2022 ,G
10,145606.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2023,Gasolina,080031-7,abril de 2022 ,G
11,141820.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,abril de 2022 ,G
12,164959.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,março de 2022 ,G
13,144451.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2023,Gasolina,080031-7,março de 2022 ,G
14,140695.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,março de 2022 ,G
15,162662.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,fevereiro de 2022 ,G
16,143305.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2023,Gasolina,080031-7,fevereiro de 2022 ,G
17,139579.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,fevereiro de 2022 ,G
18,159845.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,janeiro de 2022 ,G
19,137289.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,janeiro de 2022 ,G
20,149905.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,dezembro de 2021 ,G
21,139921.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,dezembro de 2021 ,G
22,149906.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,novembro de 2021 ,G
23,139435.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,novembro de 2021 ,G
24,149897.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,outubro de 2021 ,G
25,138951.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,outubro de 2021 ,G
26,153393.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,setembro de 2021 ,G
27,136915.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,setembro de 2021 ,G
28,150401.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),32000,Gasolina,080031-7,agosto de 2021 ,G
29,134909.0,JAC,e-JS1 62cv 5p Aut. (Elétrico),2022,Gasolina,080031-7,agosto de 2021 ,G
0,262175.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),32000,Gasolina,080030-9,julho de 2022 ,G
1,248123.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),2023,Gasolina,080030-9,julho de 2022 ,G
2,238183.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),2022,Gasolina,080030-9,julho de 2022 ,G
3,267800.0,JAC,e-JS4 150CV 5p Aut. (Elétrico),32000,Gasolina,080030-9,junho de 2022 ,G
