,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
0,238752.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,julho de 2022 ,G
1,158377.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,julho de 2022 ,G
2,150586.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,julho de 2022 ,G
3,146485.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,julho de 2022 ,G
4,117337.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,julho de 2022 ,G
5,108541.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,julho de 2022 ,G
6,225451.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,junho de 2022 ,G
7,158854.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,junho de 2022 ,G
8,151040.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,junho de 2022 ,G
9,146926.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,junho de 2022 ,G
10,121628.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,junho de 2022 ,G
11,112510.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,junho de 2022 ,G
12,233550.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,maio de 2022 ,G
13,154038.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,maio de 2022 ,G
14,149842.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,maio de 2022 ,G
15,145760.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,maio de 2022 ,G
16,127895.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,maio de 2022 ,G
17,118308.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,maio de 2022 ,G
18,231697.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,abril de 2022 ,G
19,152816.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,abril de 2022 ,G
20,148653.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,abril de 2022 ,G
21,144604.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,abril de 2022 ,G
22,121921.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,abril de 2022 ,G
23,112782.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,abril de 2022 ,G
24,220875.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,março de 2022 ,G
25,148731.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,março de 2022 ,G
26,144651.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,março de 2022 ,G
27,140564.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,março de 2022 ,G
28,120770.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,março de 2022 ,G
29,111717.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,março de 2022 ,G
30,210558.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,fevereiro de 2022 ,G
31,151127.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,fevereiro de 2022 ,G
32,138322.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,fevereiro de 2022 ,G
33,133999.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,fevereiro de 2022 ,G
34,115129.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,fevereiro de 2022 ,G
35,106499.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,fevereiro de 2022 ,G
36,200723.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,janeiro de 2022 ,G
37,151518.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,janeiro de 2022 ,G
38,131861.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,janeiro de 2022 ,G
39,127740.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,janeiro de 2022 ,G
40,108613.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,janeiro de 2022 ,G
41,100471.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,janeiro de 2022 ,G
42,189362.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,dezembro de 2021 ,G
43,147239.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,dezembro de 2021 ,G
44,125702.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,dezembro de 2021 ,G
45,121774.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,dezembro de 2021 ,G
46,102466.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,dezembro de 2021 ,G
47,94784.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,dezembro de 2021 ,G
48,186564.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,novembro de 2021 ,G
49,140228.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,novembro de 2021 ,G
50,122457.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,novembro de 2021 ,G
51,118630.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,novembro de 2021 ,G
52,102110.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,novembro de 2021 ,G
53,89777.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,novembro de 2021 ,G
54,185945.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,outubro de 2021 ,G
55,136775.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,outubro de 2021 ,G
56,120436.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,outubro de 2021 ,G
57,115294.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,outubro de 2021 ,G
58,97248.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,outubro de 2021 ,G
59,89465.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,outubro de 2021 ,G
60,183198.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,setembro de 2021 ,G
61,136032.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,setembro de 2021 ,G
62,122894.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,setembro de 2021 ,G
63,115499.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,setembro de 2021 ,G
64,91744.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,setembro de 2021 ,G
65,84401.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,setembro de 2021 ,G
66,175590.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2009,Gasolina,023051-0,agosto de 2021 ,G
67,126542.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2008,Gasolina,023051-0,agosto de 2021 ,G
68,122588.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2007,Gasolina,023051-0,agosto de 2021 ,G
69,115294.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2006,Gasolina,023051-0,agosto de 2021 ,G
70,83564.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2005,Gasolina,023051-0,agosto de 2021 ,G
71,76868.0,Nissan,350Z 3.5 V6 280cv/ 312cv 2p,2004,Gasolina,023051-0,agosto de 2021 ,G
0,6993.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,julho de 2022 ,G
1,6282.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,julho de 2022 ,G
2,7015.0,Nissan,Altima GXE 2.4 16V,1994,Gasolina,023020-0,junho de 2022 ,G
3,6301.0,Nissan,Altima GXE 2.4 16V,1993,Gasolina,023020-0,junho de 2022 ,G
